id,full_name,phone_number,email,password,role,is_active,created_at
1,user1,9111251252,admin@gym.com,sthadmin,admin,1,1/1/2026
2,user2,9111251253,user1@example.com,sth1,coach,1,11/15/2025
3,user3,9111251254,user2@example.com,sth2,coach,1,10/1/2025
4,user4,9111251255,user3@example.com,sth3,coach,1,12/1/2025
5,user5,9111251256,user4@example.com,sth4,coach,1,9/15/2025
6,user6,9111251257,user5@example.com,sth5,athlete,1,1/10/2026
7,user7,9111251258,user6@example.com,sth6,athlete,1,12/20/2025
8,user8,9111251259,user7@example.com,sth7,athlete,1,2/1/2026
9,user9,9111251260,user8@example.com,sth8,athlete,1,12/15/2025
10,user10,9111251261,user9@example.com,sth9,athlete,1,1/20/2026
11,user11,9111251262,user10@example.com,sth10,athlete,1,2/10/2026
12,user12,9111251263,user11@example.com,sth11,athlete,1,2/15/2026
13,user13,9111251264,user12@example.com,sth12,athlete,1,11/1/2025
14,user14,9111251265,user13@example.com,sth13,athlete,1,12/10/2025
15,user15,9111251266,user14@example.com,sth14,athlete,1,1/5/2026
16,user16,9111251267,user15@example.com,sth15,athlete,1,3/1/2026
17,user17,9111251268,user16@example.com,sth16,athlete,1,12/1/2025
18,user18,9111251269,,sth17,athlete,1,12/2/2025
19,user19,9111251270,user18@example.com,sth18,athlete,1,2/20/2026
20,user20,9111251271,user19@example.com,sth19,athlete,1,3/1/2026
21,user21,9111251272,user20@example.com,sth20,athlete,1,3/15/2026
22,user22,9111251273,user21@example.com,sth21,athlete,1,4/1/2026
23,user23,9111251274,user22@example.com,sth22,athlete,1,4/10/2026
24,user24,9111251275,user23@example.com,sth23,athlete,1,5/1/2026
